,country_code,longitude,latitude,average_cost_for_two,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_text,votes,cuisine_rate
195,216,-84.9933631,32.4652417,40,0,0,0,0,3,3.6,3,109,0
196,216,-84.96661,32.534002,40,0,0,0,0,3,3.7,3,134,132
197,216,-84.95366999999999,32.513154,40,0,0,0,0,3,4.2,4,722,126
198,216,-84.947569,32.504657,25,0,0,0,0,2,4.3,4,213,0
199,216,-84.9607,32.5393,25,0,0,0,0,2,4.0,4,335,1
200,216,-84.9464,32.4792,25,0,0,0,0,2,4.0,4,353,109
201,216,-84.9427,32.481,0,0,0,0,0,1,4.0,4,170,0
202,216,-84.9557,32.5321,25,0,0,0,0,2,4.1,4,192,0
203,216,-84.99209300000001,32.466158,40,0,0,0,0,3,4.1,4,302,136
204,216,-84.938698,32.560905,10,0,0,0,0,1,4.2,4,355,146
205,216,-84.991384,32.468757000000004,25,0,0,0,0,2,4.3,4,287,1
206,216,-84.963201,32.527217,40,0,0,0,0,3,4.0,4,264,143
207,216,-85.0213,32.7455,40,0,0,0,0,3,4.4,4,235,0
208,37,-110.77469939999999,52.0082889,25,0,0,0,0,2,3.0,2,6,146
209,216,-84.9396931,34.5251331,25,0,0,0,0,2,3.7,3,38,136
210,216,-84.92625799999999,34.474635,10,0,0,0,0,1,4.4,4,122,139
211,216,-84.9523921,34.497248799999994,25,0,0,0,0,2,4.4,4,207,0
212,216,-84.767911,34.752476,10,0,0,0,0,1,3.9,3,66,128
213,216,-84.96939300000001,34.769686,10,0,0,0,0,1,4.9,5,249,111
214,216,-85.0039,34.7643,25,0,0,0,0,2,3.8,3,63,0
215,216,-84.99234200000001,34.759551,40,0,0,0,0,3,3.8,3,145,1
216,216,-84.992924,34.759665000000005,10,0,0,0,0,1,3.8,3,83,1
217,216,-84.999678,34.758645,25,0,0,0,0,2,3.7,3,116,1
218,216,-84.9678,34.7742,10,0,0,0,0,1,4.1,4,122,0
219,216,-84.990925,34.759273,10,0,0,0,0,1,4.1,4,142,1
220,216,-84.9964,34.7604,10,0,0,0,0,1,4.1,4,114,0
221,216,-85.22291009999999,34.9428786,25,0,0,0,0,2,4.6,5,214,136
222,216,-85.246237,34.9528157,10,0,0,0,0,1,4.3,4,116,1
223,216,-85.2545,34.9546,25,0,0,0,0,2,4.2,4,111,1
224,216,-85.294955,34.705093,10,0,0,0,0,1,3.7,3,25,1
225,216,-85.1321,34.9273,10,0,0,0,0,1,4.1,4,128,1
226,216,-85.130492,34.912109,10,0,0,0,0,1,4.3,4,244,136
227,216,-85.1079396,34.9151853,10,0,0,0,0,1,4.2,4,112,0
228,216,-85.24972700000001,34.851907000000004,10,0,0,0,0,1,4.1,4,144,0
229,216,-90.49698599999999,41.574934999999996,25,0,0,0,0,2,4.6,5,166,120
230,216,-90.522479,41.53845,40,0,0,0,0,3,4.5,5,208,118
231,216,-90.4912446,41.574780100000005,25,0,0,0,0,2,3.9,3,136,135
232,216,-90.504176,41.548746,10,0,0,0,0,1,4.0,4,85,136
233,216,-90.50709,41.525384,25,0,0,0,0,2,4.1,4,117,1
234,216,-90.574088,41.593892,25,0,0,0,0,2,3.4,2,53,1
235,216,-90.565837,41.574459000000004,25,0,0,0,0,2,4.9,5,474,131
236,216,-90.5716,41.5604,10,0,0,0,0,1,3.9,3,125,1
237,216,-90.5737,41.5223,70,0,0,0,0,4,3.7,3,201,136
238,216,-90.59466452,41.52253634,25,0,0,0,0,2,0.0,0,2,136
239,216,-90.5154313,41.5709434,25,0,0,0,0,2,0.0,0,3,1
240,216,-90.5683,41.5699,0,0,0,0,0,1,4.3,4,167,0
241,216,-90.5321,41.5749,25,0,0,0,0,2,4.0,4,112,0
242,216,-90.5432,41.5747,25,0,0,0,0,2,4.1,4,256,0
243,216,-90.572418,41.520389,10,0,0,0,0,1,4.3,4,123,0
244,216,-90.5137,41.5745,25,0,0,0,0,2,4.0,4,199,0
245,216,-90.5686,41.559,25,0,0,0,0,2,4.1,4,157,1
246,216,-90.6136,41.5944,25,0,0,0,0,2,4.1,4,100,1
247,216,-90.515175,41.570997,40,0,0,0,0,3,4.2,4,141,0
248,216,-90.51700000000001,41.5747,25,0,0,0,0,2,4.2,4,197,0
249,216,-93.610084,42.010253999999996,25,0,0,0,0,2,4.5,5,1025,139
250,216,-93.64309399999999,42.048778999999996,25,0,0,0,0,2,4.9,5,570,136
251,216,-93.677638,41.614965000000005,40,0,0,0,0,3,4.5,5,674,109
252,216,-93.739573,41.600564,25,0,0,0,0,2,4.1,4,496,132
253,216,-93.76002700000001,41.60028,25,0,0,0,0,2,4.0,4,411,1
254,216,-93.62789599999999,41.583309,25,0,0,0,0,2,3.2,2,113,128
255,216,-93.63008029999999,41.5857431,40,0,0,0,0,3,4.5,5,1109,0
256,216,-93.62163100000001,41.585465,25,0,0,0,0,2,4.6,5,728,146
257,216,-93.637401,41.587219,10,0,0,0,0,1,4.4,4,659,131
258,216,-93.620726,41.585359999999994,40,0,0,0,0,3,4.2,4,370,136
259,216,-93.629436,41.584027,40,0,0,0,0,3,4.3,4,532,0
260,216,-93.611366,41.590819,25,0,0,0,0,2,4.8,5,860,1
261,216,-93.61474,41.590106,10,0,0,0,0,1,4.2,4,943,139
262,216,-93.577383,41.601415,70,0,0,0,0,4,4.1,4,476,143
263,216,-93.64524499999999,41.545869,10,0,0,0,0,1,4.1,4,218,0
264,216,-93.6976773,41.671465399999995,10,0,0,0,0,1,4.0,4,214,128
265,216,-93.659797,41.603901,25,0,0,0,0,2,4.3,4,699,1
266,216,-93.772033,41.615083,25,0,0,0,0,2,3.8,3,308,0
267,216,-93.73624000000001,41.594039,25,0,0,0,0,2,4.0,4,157,75
268,216,-93.74419809999999,41.5991771,40,0,0,0,0,3,4.2,4,530,126
269,14,153.137401,-26.783576,7,0,0,0,0,1,3.6,3,29,113
270,216,-90.667668,42.504759,10,0,0,0,0,1,3.4,2,33,1
271,216,-90.6499328,42.5124724,25,0,0,0,0,2,3.3,2,40,0
272,216,-90.6684746,42.5032004,10,0,0,0,0,1,3.4,2,153,1
273,216,-90.658609,42.496464,25,0,0,0,0,2,3.3,2,65,136
274,216,-90.664029,42.495689,25,0,0,0,0,2,3.4,2,58,0
275,216,-90.71524699999999,42.492018,25,0,0,0,0,2,3.5,3,100,0
276,216,-90.740213,42.49092,10,0,0,0,0,1,3.6,3,156,1
277,216,-90.7264,42.4955,0,0,0,0,0,1,3.5,3,74,139
278,216,-90.64529399999999,42.516621,25,0,0,0,0,2,3.6,3,117,1
279,216,-90.71208399999999,42.492963,40,0,0,0,0,3,3.7,3,83,0
280,216,-90.6646,42.5043,25,0,0,0,0,2,3.6,3,48,0
281,216,-90.668164,42.503075,40,0,0,0,0,3,3.8,3,198,135
282,216,-90.7055,42.4916,10,0,0,0,0,1,3.5,3,126,0
283,216,-90.6677349,42.500191,10,0,0,0,0,1,3.5,3,119,135
284,216,-90.6691,42.5048,25,0,0,0,0,2,3.6,3,140,1
285,216,-90.6651,42.4974,40,0,0,0,0,3,3.6,3,159,1
286,216,-90.6658,42.4963,25,0,0,0,0,2,3.6,3,131,0
287,216,-90.663686,42.4982789,10,0,0,0,0,1,3.5,3,60,0
288,216,-90.684882,42.527556,25,0,0,0,0,2,3.7,3,89,140
289,216,-90.658988,42.496378,70,0,0,0,0,4,3.6,3,72,1
290,14,153.593331,-28.862663,20,0,0,0,0,2,4.1,4,56,1
291,216,-119.25269399999999,39.607515,10,0,0,0,0,1,3.7,3,83,0
292,14,152.87714730000002,-26.652133199999998,30,0,0,0,0,3,3.5,3,37,113
293,14,143.714315,-38.517292,20,0,0,0,0,2,3.7,3,29,140
294,216,-83.8461,34.0901,25,0,0,0,0,2,4.4,4,239,136
295,216,-83.52069300000001,34.61802,10,0,0,0,0,1,4.1,4,235,0
296,216,-83.985353,34.532973,25,0,0,0,0,2,3.8,3,88,136
297,216,-83.9858,34.5318,40,0,0,0,0,3,3.9,3,209,0
298,216,-83.983939,34.533626,10,0,0,0,0,1,3.9,3,133,0
299,216,-83.989317,34.541044,10,0,0,0,0,1,4.4,4,267,146
300,216,-83.98611899999999,34.533198,25,0,0,0,0,2,4.1,4,171,126
301,216,-83.938024,34.183572999999996,25,0,0,0,0,2,3.8,3,107,0
302,216,-83.92621700000001,34.185707,40,0,0,0,0,3,4.3,4,164,136
303,216,-83.92779399999999,34.180043,10,0,0,0,0,1,4.1,4,182,114
304,216,-83.83845699999999,34.285102,25,0,0,0,0,2,4.9,5,681,126
305,216,-83.85799300000001,34.300182,10,0,0,0,0,1,4.6,5,357,1
306,216,-83.860098,34.222755,25,0,0,0,0,2,3.8,3,89,1
307,216,-83.824023,34.300567,25,0,0,0,0,2,4.2,4,350,136
308,216,-83.8272,34.3166,10,0,0,0,0,1,4.3,4,298,0
309,216,-83.82686,34.300332,25,0,0,0,0,2,4.2,4,319,1
310,216,-83.72774100000001,34.701594,40,0,0,0,0,3,3.8,3,114,0
311,216,-83.7345,34.7024,10,0,0,0,0,1,3.9,3,136,129
312,216,-83.7334,34.7021,25,0,0,0,0,2,2.2,1,108,133
313,216,-83.713498,34.691208,10,0,0,0,0,1,4.0,4,161,0
314,14,144.1387014,-37.31232670000001,20,0,0,0,0,2,3.8,3,192,140
315,14,144.110062,-37.275494,7,0,0,0,0,1,3.8,3,93,143
316,14,150.67107430000002,-35.0388698,20,0,0,0,0,2,4.1,4,40,111
317,14,145.7287133,-38.6347458,7,0,0,0,0,1,3.7,3,100,133
318,14,147.9942247,-37.8783865,7,0,0,0,0,1,3.8,3,97,111
319,216,-120.3458,42.1885,10,0,0,0,0,1,3.6,3,41,139
320,216,-96.7072,40.8143,25,0,0,0,0,2,4.5,5,799,1
321,14,151.558475,-32.728097,20,0,0,0,0,2,3.6,3,18,0
322,14,144.564174,-37.423189,20,0,0,0,0,2,3.5,3,31,1
323,216,-83.594494,32.567741,25,0,0,0,0,2,3.9,3,146,88
324,216,-83.657061,32.853896,10,0,0,0,0,1,4.9,5,478,1
325,216,-83.6737,32.8496,25,0,0,0,0,2,4.6,5,467,1
326,216,-83.6766,32.8899,25,0,0,0,0,2,4.5,5,302,146
327,216,-83.6279,32.8361,25,0,0,0,0,2,4.5,5,289,139
328,216,-83.62797900000001,32.83641,40,0,0,0,0,3,3.8,3,102,1
329,216,-83.713978,32.929278000000004,40,0,0,0,0,3,4.1,4,293,136
330,216,-83.6276,32.8375,70,0,0,0,0,4,4.0,4,195,1
331,216,-83.628703,32.83654,10,0,0,0,0,1,4.3,4,244,139
332,216,-83.787993,32.928495,70,0,0,0,0,4,4.2,4,379,143
333,216,-83.6873,32.900999999999996,10,0,0,0,0,1,4.2,4,223,120
334,216,-83.662421,32.556872999999996,25,0,0,0,0,2,3.7,3,243,146
335,216,-83.624,32.5786,25,0,0,0,0,2,3.7,3,104,1
336,216,-83.6665,32.6184,10,0,0,0,0,1,3.7,3,153,0
337,216,-83.69104399999999,32.552684,25,0,0,0,0,2,3.8,3,323,135
338,216,-83.64935,32.594666,10,0,0,0,0,1,4.1,4,181,1
339,216,-83.636618,32.617683899999996,25,0,0,0,0,2,4.0,4,316,136
340,216,-83.600201,32.619321,25,0,0,0,0,2,4.2,4,288,0
341,216,-83.66555699999999,32.593264000000005,10,0,0,0,0,1,4.0,4,232,1
342,216,-83.7184,32.6147,40,0,0,0,0,3,4.1,4,314,0
343,14,151.7343832,-32.899178000000006,20,0,0,0,0,2,2.9,2,11,0
344,216,-85.7363,46.3718,10,0,0,0,0,1,2.4,1,17,133
345,14,117.917166,-35.025861,30,0,0,0,0,3,3.8,3,176,110
346,216,-98.9891,44.5158,0,0,0,0,0,1,3.4,2,11,1
347,216,-89.653487,42.606306,25,0,0,0,0,2,3.6,3,65,1
348,14,152.89373500000002,-26.690462,30,0,0,0,0,3,2.4,1,193,88
349,216,-106.057666,36.313638,40,0,0,0,0,3,3.6,3,30,136
350,216,-81.381077,28.540432,40,0,0,0,0,3,4.4,4,981,90
351,216,-81.585226,28.405437,45,0,0,0,0,3,4.5,5,1151,59
352,216,-81.514608,28.372858,35,0,0,0,0,3,4.7,5,1341,136
353,216,-81.517725,28.371338,50,0,0,0,0,4,4.3,4,782,16
