,Name,Player_Id,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9
399,Schar,482,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Muto,488,5,1.0,4.0,0.0,3.0,-2.0,3.0,25.0,0.0,5,1.0,4.0,0.0,3.0,-2.0,3.0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.1,1.3,0.0,0.0,0.0,1.1,10.8,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0,6.0,2.0
401,Rondon,493,0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.5,3.8,0.0,0.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0
402,Fernandez,516,0,0.0,8.0,11.0,27.0,27.0,0.0,11.0,16.0,0,0.0,8.0,11.0,27.0,27.0,0.0,11.0,16.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.3,7.9,2.7,0.0,1.5,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,2.0
403,Sterry,530,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,
404,Longstaff,531,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,
405,Ings,258,6,22.0,4.0,35.0,28.0,0.0,8.0,-7.0,5.0,6,22.0,4.0,35.0,28.0,0.0,8.0,-7.0,5.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.4,15.8,7.0,10.1,11.6,0.0,5.9,6.1,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,8.0,7.0,0.0,2.0,1.0,2.0
406,McCarthy,328,34,20.0,14.0,32.0,8.0,13.0,16.0,16.0,26.0,34,20.0,14.0,32.0,8.0,13.0,16.0,16.0,26.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.4,2.4,3.4,1.4,0.6,3.5,2.2,1.9,6,5.0,3.0,6.0,2.0,1.0,4.0,3.0,2.0,11,2.0,2.0,8.0,0.0,1.0,2.0,2.0,6.0
407,Forster,329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Bertrand,330,24,11.0,19.0,25.0,5.0,9.0,11.0,5.0,19.0,24,11.0,19.0,25.0,5.0,9.0,11.0,5.0,19.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.7,9.6,2.3,1.7,3.9,5.8,4.2,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,7.0,6.0,1.0,1.0,0.0,0.0,5.0
409,Yoshida,331,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
410,Cedric,332,4,9.0,10.0,45.0,9.0,14.0,12.0,4.0,32.0,4,9.0,10.0,45.0,9.0,14.0,12.0,4.0,32.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,1.7,12.4,3.2,4.2,2.7,1.3,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,12.0,0.0,1.0,1.0,0.0,9.0
